id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1,1,media_card,main,,What does 'concurrency' mean in programming?,Structuring a program so multiple tasks can make progress over the same period of time|Running a program twice as fast on one CPU core|Writing code with no bugs|Storing data in a database,0,,concurrency.wav,
2,1,true_false,exercise,1,Concurrency always means tasks run at the same instant.,false,false,,,That's parallelism specifically. Concurrency is about structure — tasks can interleave on a single core too.
3,1,multiple_choice,exercise,1,Which best describes concurrent code?,Interleaved progress|Single task|Never waits|Multiple files,0,,,Full options: Multiple tasks make progress by interleaving or overlapping in time; Only one task can ever exist in the program; Code that never has any waiting; Code written in multiple files.
4,1,select_blank,exercise,1,Concurrency ___ many things; parallelism ___ many things.,dealing/doing|doing/dealing|writing/reading|reading/writing,0,,,
5,1,multiple_choice,exercise,1,What's the general term for this idea? (one word),concurrency|parallelism|multithreading|synchronization,0,,,"Concurrency means structuring a program to make progress on multiple tasks over the same time period; parallelism specifically requires simultaneous execution, which concurrency doesn't require."
6,1,multi_select,exercise,1,Which of these are real-world examples of concurrency?,Web server|Sequential chef|CPU switching|Simple calculator,0|2,cards/card_6.png,,"The chef working strictly one dish at a time, start to finish, is the opposite of concurrency — that's fully sequential. Full options: A web server handling many client requests around the same time; A chef prepping one dish, plating it, then starting the next from scratch; A single CPU core switching between two tasks; A calculator adding two numbers."
7,1,order,exercise,1,Order these from sequential to parallel.,"One task at a time, start to finish|One core switching between tasks (concurrent, not parallel)|Multiple cores running tasks at the same instant (parallel)",,cards/card_7.png,,
8,1,media_card,main,,What's the difference between concurrency and parallelism?,Concurrency is about structure (dealing with many things); parallelism is actually doing many things at the same instant|They are exactly the same concept with two names|Parallelism only applies to networking code|Concurrency requires multiple CPU cores,0,,parallelism.wav,
9,1,true_false,exercise,8,Parallelism needs at least two cores working simultaneously.,true,true,cards/card_9.png,,
10,1,multiple_choice,exercise,8,Can code be concurrent without being parallel?,Yes (asyncio)|Always together|Needs cores|Only compiled,0,,,"Full options: Yes — e.g. asyncio interleaves tasks on a single thread with no real parallelism; No, concurrency and parallelism always happen together; No, concurrency requires at least 2 CPU cores; Yes, but only in compiled languages, never in Python."
11,1,select_blank,exercise,8,threading gives you ___; GIL limits CPU ___.,concurrency/parallelism|parallelism/concurrency|speed/memory|memory/speed,0,cards/card_11.png,,
12,1,multiple_choice,exercise,8,Which approach gives real multi-core parallelism? (one word),threading|multiprocessing|asyncio|C extensions,1,,,"Only multiprocessing uses separate OS processes with their own interpreter and memory, so it isn't limited by the GIL the way threading and asyncio are."
13,1,match_pairs,exercise,8,Match each concurrency model to its core idea.,"threading:multiple threads, one process, GIL-limited|multiprocessing:multiple separate processes, real parallelism|asyncio:single thread, cooperative task switching|parallelism:tasks literally running at the same instant",,cards/card_13.png,,
14,1,image_choice,exercise,8,"Which icon represents interleaved, overlapping tasks?",Arrows:swap-horizontal-outline|Straight line:remove-outline|Trash can:trash-outline|Padlock:lock-closed-outline,0,,,
15,1,media_card,main,,What's the core difference between the three models?,"threading = many threads, one process, GIL-limited; multiprocessing = many separate OS processes, real parallelism; asyncio = one thread, cooperative task switching|They're three names for the exact same underlying mechanism|threading is always the fastest of the three|asyncio requires multiple CPU cores to work at all",0,,asyncio.wav,
16,1,true_false,exercise,15,"asyncio gets concurrency via cooperative switching, not threads.",true,true,,,
17,1,multiple_choice,exercise,15,Best model for many waiting network requests?,asyncio|multiprocessing|None help|Most memory,0,,,asyncio can juggle thousands of waiting connections on one thread far more cheaply than one OS thread per connection. Full options: asyncio; multiprocessing; None of them help with I/O; Whichever uses the most memory.
